id,type,yr,Value,StdDev
00-workflow-test,f,1952,0.0162644,0
00-workflow-test,f,1953,0.184501,0
00-workflow-test,f,1954,1.47749,0
00-workflow-test,f,1955,0.882993,0
00-workflow-test,f,1956,0.719299,0
00-workflow-test,f,1957,0.645978,0
00-workflow-test,f,1958,1.13775,0
00-workflow-test,f,1959,0.979418,0
00-workflow-test,f,1960,1.03892,0
00-workflow-test,f,1961,1.84603,0
00-workflow-test,f,1962,1.75109,0
00-workflow-test,f,1963,2.11423,0
00-workflow-test,f,1964,1.14589,0
00-workflow-test,f,1965,1.34498,0
00-workflow-test,f,1966,1.70759,0
00-workflow-test,f,1967,0.881031,0
00-workflow-test,f,1968,0.647017,0
00-workflow-test,f,1969,0.570179,0
00-workflow-test,f,1970,1.26027,0
00-workflow-test,f,1971,1.81954,0
00-workflow-test,f,1972,1.831,0
00-workflow-test,f,1973,1.79646,0
00-workflow-test,f,1974,1.67531,0
00-workflow-test,f,1975,1.24143,0
00-workflow-test,f,1976,1.14319,0
00-workflow-test,f,1977,0.573527,0
00-workflow-test,f,1978,1.15576,0
00-workflow-test,f,1979,1.19895,0
00-workflow-test,f,1980,0.801088,0
00-workflow-test,f,1981,1.45976,0
00-workflow-test,f,1982,1.84589,0
00-workflow-test,f,1983,1.20718,0
00-workflow-test,f,1984,1.26141,0
00-workflow-test,f,1985,1.23064,0
00-workflow-test,f,1986,1.16724,0
00-workflow-test,f,1987,1.1925,0
00-workflow-test,f,1988,1.70056,0
00-workflow-test,f,1989,2.42259,0
00-workflow-test,f,1990,1.63657,0
00-workflow-test,f,1991,1.2839,0
00-workflow-test,f,1992,0.966643,0
00-workflow-test,f,1993,1.15774,0
00-workflow-test,f,1994,1.72588,0
00-workflow-test,f,1995,1.55643,0
00-workflow-test,f,1996,1.41171,0
00-workflow-test,f,1997,1.3193,0
00-workflow-test,f,1998,1.70345,0
00-workflow-test,f,1999,1.39517,0
00-workflow-test,f,2000,1.05137,0
00-workflow-test,f,2001,1.00117,0
00-workflow-test,f,2002,1.08415,0
00-workflow-test,f,2003,1.55816,0
00-workflow-test,f,2004,1.47024,0
00-workflow-test,f,2005,1.13244,0
00-workflow-test,f,2006,0.953345,0
00-workflow-test,f,2007,0.800809,0
00-workflow-test,f,2008,0.945435,0
00-workflow-test,f,2009,0.971136,0
00-workflow-test,f,2010,1.03815,0
00-workflow-test,f,2011,1.39111,0
00-workflow-test,f,2012,1.71381,0
00-workflow-test,f,2013,1.48492,0
00-workflow-test,f,2014,1.91685,0
00-workflow-test,f,2015,2.11229,0
00-workflow-test,f,2016,1.94204,0
00-workflow-test,f,2017,1.66335,0
00-workflow-test,f,2018,1.80577,0
00-workflow-test,f,2019,1.78529,0
00-workflow-test,f,2020,1.81504,0
00-workflow-test,f,2021,1.9011,0
00-workflow-test,f,2022,1.27371,0
