id,type,yr,Value,StdDev
22-1979-estInitF-v2,f,1979,0.791916,0.106689
22-1979-estInitF-v2,f,1980,0.496011,0.0611812
22-1979-estInitF-v2,f,1981,0.916266,0.102868
22-1979-estInitF-v2,f,1982,1.00076,0.131884
22-1979-estInitF-v2,f,1983,0.613749,0.0812774
22-1979-estInitF-v2,f,1984,0.652552,0.0797307
22-1979-estInitF-v2,f,1985,0.640832,0.0741501
22-1979-estInitF-v2,f,1986,0.583582,0.0690989
22-1979-estInitF-v2,f,1987,0.584682,0.0699253
22-1979-estInitF-v2,f,1988,0.765437,0.0943349
22-1979-estInitF-v2,f,1989,0.950338,0.129049
22-1979-estInitF-v2,f,1990,0.623692,0.084227
22-1979-estInitF-v2,f,1991,0.50187,0.0632079
22-1979-estInitF-v2,f,1992,0.441397,0.0473157
22-1979-estInitF-v2,f,1993,0.545758,0.0627957
22-1979-estInitF-v2,f,1994,0.840968,0.0916364
22-1979-estInitF-v2,f,1995,0.695007,0.0829213
22-1979-estInitF-v2,f,1996,0.654393,0.0712719
22-1979-estInitF-v2,f,1997,0.611241,0.0615983
22-1979-estInitF-v2,f,1998,0.767488,0.0741683
22-1979-estInitF-v2,f,1999,0.690595,0.061073
22-1979-estInitF-v2,f,2000,0.570255,0.0476435
22-1979-estInitF-v2,f,2001,0.59839,0.0486556
22-1979-estInitF-v2,f,2002,0.693648,0.0562385
22-1979-estInitF-v2,f,2003,0.943621,0.0884849
22-1979-estInitF-v2,f,2004,0.809686,0.0791463
22-1979-estInitF-v2,f,2005,0.582903,0.0580057
22-1979-estInitF-v2,f,2006,0.52199,0.0492658
22-1979-estInitF-v2,f,2007,0.469934,0.0408762
22-1979-estInitF-v2,f,2008,0.594252,0.0501849
22-1979-estInitF-v2,f,2009,0.626328,0.0508472
22-1979-estInitF-v2,f,2010,0.685921,0.0562981
22-1979-estInitF-v2,f,2011,0.904815,0.0786127
22-1979-estInitF-v2,f,2012,1.01712,0.0967633
22-1979-estInitF-v2,f,2013,0.762899,0.0769096
22-1979-estInitF-v2,f,2014,1.02749,0.101916
22-1979-estInitF-v2,f,2015,0.984055,0.10799
22-1979-estInitF-v2,f,2016,0.744625,0.0871877
22-1979-estInitF-v2,f,2017,0.66699,0.0738083
22-1979-estInitF-v2,f,2018,0.713493,0.0739845
22-1979-estInitF-v2,f,2019,0.646002,0.0696218
22-1979-estInitF-v2,f,2020,0.578494,0.0646249
22-1979-estInitF-v2,f,2021,0.480207,0.0546215
22-1979-estInitF-v2,f,2022,0.332585,0.039403
