id,type,yr,Value,StdDev
16-CAAL-rm-spike,f,1952,0.0157125,0
16-CAAL-rm-spike,f,1953,0.182942,0
16-CAAL-rm-spike,f,1954,1.26866,0
16-CAAL-rm-spike,f,1955,0.813932,0
16-CAAL-rm-spike,f,1956,0.673679,0
16-CAAL-rm-spike,f,1957,0.615538,0
16-CAAL-rm-spike,f,1958,1.07512,0
16-CAAL-rm-spike,f,1959,0.9646,0
16-CAAL-rm-spike,f,1960,1.02995,0
16-CAAL-rm-spike,f,1961,1.73896,0
16-CAAL-rm-spike,f,1962,1.6672,0
16-CAAL-rm-spike,f,1963,1.96964,0
16-CAAL-rm-spike,f,1964,1.08391,0
16-CAAL-rm-spike,f,1965,1.24176,0
16-CAAL-rm-spike,f,1966,1.62211,0
16-CAAL-rm-spike,f,1967,0.847797,0
16-CAAL-rm-spike,f,1968,0.643293,0
16-CAAL-rm-spike,f,1969,0.597679,0
16-CAAL-rm-spike,f,1970,1.35235,0
16-CAAL-rm-spike,f,1971,1.95023,0
16-CAAL-rm-spike,f,1972,2.10479,0
16-CAAL-rm-spike,f,1973,2.06372,0
16-CAAL-rm-spike,f,1974,1.80487,0
16-CAAL-rm-spike,f,1975,1.33792,0
16-CAAL-rm-spike,f,1976,1.2464,0
16-CAAL-rm-spike,f,1977,0.631815,0
16-CAAL-rm-spike,f,1978,1.15947,0
16-CAAL-rm-spike,f,1979,1.24521,0
16-CAAL-rm-spike,f,1980,0.84639,0
16-CAAL-rm-spike,f,1981,1.56581,0
16-CAAL-rm-spike,f,1982,2.01888,0
16-CAAL-rm-spike,f,1983,1.33117,0
16-CAAL-rm-spike,f,1984,1.37747,0
16-CAAL-rm-spike,f,1985,1.32062,0
16-CAAL-rm-spike,f,1986,1.2375,0
16-CAAL-rm-spike,f,1987,1.21314,0
16-CAAL-rm-spike,f,1988,1.59655,0
16-CAAL-rm-spike,f,1989,2.46936,0
16-CAAL-rm-spike,f,1990,1.71772,0
16-CAAL-rm-spike,f,1991,1.31681,0
16-CAAL-rm-spike,f,1992,0.965777,0
16-CAAL-rm-spike,f,1993,1.20786,0
16-CAAL-rm-spike,f,1994,1.95557,0
16-CAAL-rm-spike,f,1995,1.82556,0
16-CAAL-rm-spike,f,1996,1.57122,0
16-CAAL-rm-spike,f,1997,1.40384,0
16-CAAL-rm-spike,f,1998,1.93221,0
16-CAAL-rm-spike,f,1999,1.66298,0
16-CAAL-rm-spike,f,2000,1.32903,0
16-CAAL-rm-spike,f,2001,1.13895,0
16-CAAL-rm-spike,f,2002,1.22174,0
16-CAAL-rm-spike,f,2003,1.86779,0
16-CAAL-rm-spike,f,2004,1.85773,0
16-CAAL-rm-spike,f,2005,1.71106,0
16-CAAL-rm-spike,f,2006,1.42291,0
16-CAAL-rm-spike,f,2007,1.26493,0
16-CAAL-rm-spike,f,2008,1.45358,0
16-CAAL-rm-spike,f,2009,1.27325,0
16-CAAL-rm-spike,f,2010,1.29092,0
16-CAAL-rm-spike,f,2011,1.60113,0
16-CAAL-rm-spike,f,2012,1.7975,0
16-CAAL-rm-spike,f,2013,1.436,0
16-CAAL-rm-spike,f,2014,1.76972,0
16-CAAL-rm-spike,f,2015,1.94737,0
16-CAAL-rm-spike,f,2016,1.79779,0
16-CAAL-rm-spike,f,2017,1.42281,0
16-CAAL-rm-spike,f,2018,1.58641,0
16-CAAL-rm-spike,f,2019,1.56039,0
16-CAAL-rm-spike,f,2020,1.49305,0
16-CAAL-rm-spike,f,2021,1.61358,0
16-CAAL-rm-spike,f,2022,1.07042,0
